"","X","district","school","county","grades","students","teachers","calworks","lunch","computer","expenditure","income","english","read","math"
"8",8,63834,"Vineland Elementary","Kern","KK-08",888,42.5,18.8062992095947,100,66,4565.74609375,8.17399978637695,46.9594612121582,605.5,612.5
"17",17,63594,"Lost Hills Union Elementary","Kern","KK-08",491,28.9200000762939,11.2016000747681,97.7596969604492,100,6723.23779296875,6.21600008010864,85.5397186279297,611.700012207031,624.400024414062
"18",18,63370,"Buttonwillow Union Elementary","Kern","KK-08",421,25.5,8.55109977722168,77.9096984863281,50,5589.88525390625,7.76399993896484,58.9073638916016,614.900024414062,621.700012207031
"20",20,63560,"Lamont Elementary","Kern","KK-08",2688,135,23.4375,93.2292022705078,139,5433.59326171875,5.69899988174438,49.8139877319336,621.299987792969,619.299987792969
"23",23,63842,"Wasco Union Elementary","Kern","KK-08",2538,130.5,18.9111003875732,70.8167037963867,169,5107.08642578125,7.40500020980835,45.0748634338379,622.900024414062,620.599975585938
"28",28,63313,"Arvin Union Elementary","Kern","KK-08",2601,135,15.0711002349854,92.1952972412109,269,5223.912109375,7.30499982833862,70.0115356445312,616.5,630.400024414062
"40",40,63578,"Richland-Lerdo Union Elementary","Kern","KK-08",2471,121.860000610352,23.7959995269775,87.7781982421875,275,5119.158203125,9.70899963378906,53.0554428100586,627.5,627.099975585938
"43",43,63461,"Fairfax Elementary","Kern","KK-08",1217,61.4000015258789,33.9080009460449,88.0951995849609,78,5485.49609375,8.17399978637695,30.3204593658447,629.400024414062,627.700012207031
"44",44,63404,"Delano Union Elementary","Kern","KK-08",6219,268,21.4986000061035,100,571,4793.3701171875,7.5,52.2431259155273,621.099975585938,636.200012207031
"48",48,63438,"Edison Elementary","Kern","KK-08",814,39,19.7789001464844,67.4447021484375,85,4518.01611328125,15.1770000457764,13.7592134475708,631.900024414062,628.900024414062
"49",49,63321,"Bakersfield City Elementary","Kern","KK-08",27176,1429,39.2183990478516,84.2949981689453,3324,5864.3662109375,12.1091279983521,28.8637046813965,631.599975585938,629.5
"66",66,63339,"Beardsley Elementary","Kern","KK-08",1639,90.5,46.8881988525391,80.6042022705078,287,5693.88330078125,13.3900003433228,7.32153749465942,638.400024414062,629.599975585938
"71",71,63420,"Di Giorgio Elementary","Kern","KK-08",237,11,19.8311996459961,76.7931976318359,13,4845.68017578125,7.30499982833862,5.48523235321045,631.799987792969,636.599975585938
"89",89,63503,"Greenfield Union Elementary","Kern","KK-08",6195,306.75,21.0433006286621,68.5718994140625,1261,4825.72265625,8.92033290863037,13.5593223571777,636.200012207031,637.700012207031
"101",101,63719,"Pond Union Elementary","Kern","KK-08",146,7.65999984741211,13.6985998153687,66.4384002685547,28,5131.119140625,7.40500020980835,13.6986303329468,637.5,639.599975585938
"102",102,63800,"Taft City Elementary","Kern","KK-08",2141,105.819999694824,26.4965000152588,65.3827972412109,134,5279.35400390625,12.0769996643066,11.3498363494873,636.900024414062,640.5
"109",109,63792,"Standard Elementary","Kern","KK-08",2621,136.830001831055,25.8297996520996,64.0977020263672,397,5718.55126953125,13.3900003433228,2.02212882041931,641.400024414062,638.299987792969
"132",132,63487,"General Shafter Elementary","Kern","KK-08",224,10,7.14289999008179,58.035701751709,31,4741.95703125,13.1920003890991,7.5892858505249,633.599975585938,653.799987792969
"166",166,73544,"Rio Bravo-Greeley Union Elementary","Kern","KK-08",797,38,7.02629995346069,35.7591018676758,60,4674.298828125,16.2929992675781,3.2622332572937,648.799987792969,647.700012207031
"197",197,63784,"South Fork Union Elementary","Kern","KK-08",382,22,29.2383003234863,59.2137985229492,75,5247.01806640625,11.5539999008179,0,653.099975585938,651.900024414062
"201",201,63552,"Lakeside Union Elementary","Kern","KK-08",793,39.7999992370605,4.41359996795654,30.7691993713379,49,4944.09228515625,19.068000793457,2.26986122131348,652.400024414062,654.599975585938
"211",211,63545,"Kernville Union Elementary","Kern","KK-08",1129,61.9900016784668,34.1894989013672,62.2675018310547,164,5805.63671875,11.2910003662109,0,655.099975585938,653.5
"266",266,63362,"Panama Buena Vista Union Elementary","Kern","KK-08",12380,620.380004882812,12.2952003479004,31.0188999176025,1671,5156.85693359375,16.6541118621826,4.81421661376953,660.099975585938,663.599975585938
"278",278,63750,"Rosedale Union Elementary","Kern","KK-08",3548,170.649993896484,3.25999999046326,14.8508996963501,335,4522.37548828125,16.2929992675781,0.366403609514236,658.299987792969,667
"321",321,63693,"Norris Elementary","Kern","KK-08",1349,65.2125015258789,2.00149989128113,8.67310047149658,259,4612.98974609375,15.56725025177,0.222386956214905,667,667.900024414062
"324",324,63610,"Maple Elementary","Kern","KK-08",224,9,5.35710000991821,35.2678985595703,15,4742.51416015625,9.70899963378906,4.4642858505249,660.5,675.700012207031
"339",339,63479,"Fruitvale Elementary","Kern","KK-08",2596,135.350006103516,3.00460004806519,19.5300006866455,249,5112.39013671875,15.5190000534058,1.57935285568237,669.200012207031,670.799987792969
